address,size,names,assemblyFile,fileByteOffset
0xac285c,204,_ZN7cocos2d24CanvasRenderingContext2D9closePathEv,text.asm,489656
0xac2928,228,_ZN7cocos2d24CanvasRenderingContext2D6moveToEff,text.asm,492579
0xac2a0c,228,_ZN7cocos2d24CanvasRenderingContext2D6lineToEff,text.asm,495837
0xac2af0,72,_ZN7cocos2d24CanvasRenderingContext2D6strokeEv,text.asm,499095
0xac2b38,240,_ZN28CanvasRenderingContext2DImpl6strokeEv,text.asm,500164
0xac2c28,72,_ZN7cocos2d24CanvasRenderingContext2D4fillEv,text.asm,503581
0xac2c70,232,_ZN28CanvasRenderingContext2DImpl4fillEv,text.asm,504648
0xac2d58,208,_ZN7cocos2d24CanvasRenderingContext2D7restoreEv,text.asm,507950
0xac2e28,204,_ZN7cocos2d24CanvasRenderingContext2D30setCanvasBufferUpdatedCallbackERKNSt6__ndk18functionIFvRKNS_4DataEEEE,text.asm,510932
0xac2ef4,12,_ZN7cocos2d24CanvasRenderingContext2D14setPremultiplyEb,text.asm,513794
0xac2f00,84,_ZN7cocos2d24CanvasRenderingContext2D10set__widthEf,text.asm,514024
0xac2f54,88,_ZN7cocos2d24CanvasRenderingContext2D11set__heightEf,text.asm,515266
0xac2fac,232,_ZN7cocos2d24CanvasRenderingContext2D13set_lineWidthEf,text.asm,516558
0xac3094,36,_ZN7cocos2d24CanvasRenderingContext2D12set_lineJoinERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,519885
0xac30b8,300,_ZN28CanvasRenderingContext2DImpl11setLineJoinERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE,text.asm,520499
0xac31e4,36,_ZN7cocos2d24CanvasRenderingContext2D11set_lineCapERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,524849
0xac3208,296,_ZN28CanvasRenderingContext2DImpl10setLineCapERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE,text.asm,525462
0xac3330,2684,_ZN7cocos2d24CanvasRenderingContext2D8set_fontERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,529748
0xac3dac,80,_ZNSt6__ndk111basic_regexIcNS_12regex_traitsIcEEED2Ev,text.asm,567007
0xac3dfc,360,_ZN28CanvasRenderingContext2DImpl10updateFontERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEfbbbb,text.asm,568173
0xac3f64,620,_ZN7cocos2d24CanvasRenderingContext2D13set_textAlignERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,573356
0xac41d0,548,_ZN7cocos2d24CanvasRenderingContext2D16set_textBaselineERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,582048
0xac43f4,308,_ZN7cocos2d24CanvasRenderingContext2D13set_fillStyleERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,589727
0xac4528,304,_ZN7cocos2d24CanvasRenderingContext2D15set_strokeStyleERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,594149
0xac4658,4,_ZN7cocos2d24CanvasRenderingContext2D28set_globalCompositeOperationERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,598510
0xac465c,72,_ZN7cocos2d24CanvasRenderingContext2D14_fillImageDataERKNS_4DataEffff,text.asm,598705
0xac46a4,428,_ZN28CanvasRenderingContext2DImpl14_fillImageDataERKN7cocos2d4DataEffff,text.asm,599797
0xac4850,4,_ZN7cocos2d24CanvasRenderingContext2D9translateEff,text.asm,605718
0xac4854,4,_ZN7cocos2d24CanvasRenderingContext2D5scaleEff,text.asm,605826
0xac4858,4,_ZN7cocos2d24CanvasRenderingContext2D6rotateEf,text.asm,605930
0xac485c,4,_ZN7cocos2d24CanvasRenderingContext2D9transformEffffff,text.asm,606034
